 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 8.325954E+01, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift=-2.562404734040227E+00  (ETA=-4.354080E+00)
 #      Matching radius: RAD(  299)= 1.192047681907280E-02
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.09204368E-02  3.75848731E-01 -1.09711397E-01
   1.09604384E-02  3.75852509E-01 -1.09880664E-01
   1.10004400E-02  3.75849775E-01 -1.10048734E-01
   1.10404416E-02  3.75840556E-01 -1.10215610E-01
   1.10804432E-02  3.75824876E-01 -1.10381296E-01
   1.11204448E-02  3.75802759E-01 -1.10545794E-01
   1.11604464E-02  3.75774232E-01 -1.10709108E-01
   1.12004480E-02  3.75739318E-01 -1.10871242E-01
   1.12404496E-02  3.75698043E-01 -1.11032197E-01
   1.12804512E-02  3.75650431E-01 -1.11191978E-01
   1.13204528E-02  3.75596507E-01 -1.11350587E-01
   1.13604544E-02  3.75536295E-01 -1.11508028E-01
   1.14004560E-02  3.75469819E-01 -1.11664303E-01
   1.14404576E-02  3.75397105E-01 -1.11819417E-01
   1.14804592E-02  3.75318176E-01 -1.11973372E-01
   1.15204608E-02  3.75233057E-01 -1.12126171E-01
   1.15604624E-02  3.75141771E-01 -1.12277817E-01
   1.16004640E-02  3.75044343E-01 -1.12428313E-01
   1.16404656E-02  3.74940797E-01 -1.12577663E-01
   1.16804672E-02  3.74831156E-01 -1.12725869E-01
   1.17204688E-02  3.74715445E-01 -1.12872935E-01
   1.17604704E-02  3.74593687E-01 -1.13018864E-01
   1.18004720E-02  3.74465906E-01 -1.13163658E-01
   1.18404736E-02  3.74332125E-01 -1.13307321E-01
   1.18804752E-02  3.74192369E-01 -1.13449856E-01
   1.19204768E-02  3.74046660E-01 -1.13591265E-01
   1.19604784E-02  3.73895022E-01 -1.13731552E-01
   1.20004800E-02  3.73737479E-01 -1.13870720E-01
   1.20404816E-02  3.73574053E-01 -1.14008771E-01
   1.20804832E-02  3.73404768E-01 -1.14145710E-01
   1.21204848E-02  3.73229647E-01 -1.14281537E-01
   1.21604864E-02  3.73048713E-01 -1.14416258E-01
   1.22004880E-02  3.72861990E-01 -1.14549874E-01
   1.22404896E-02  3.72669499E-01 -1.14682388E-01
   1.22804912E-02  3.72471264E-01 -1.14813804E-01
   1.23204928E-02  3.72267308E-01 -1.14944124E-01
   1.23604944E-02  3.72057653E-01 -1.15073352E-01
   1.24004960E-02  3.71842322E-01 -1.15201490E-01
   1.24404976E-02  3.71621337E-01 -1.15328540E-01
   1.24804992E-02  3.71394722E-01 -1.15454507E-01
   1.25205008E-02  3.71162499E-01 -1.15579393E-01
   1.25605024E-02  3.70924690E-01 -1.15703200E-01
   1.26005040E-02  3.70681317E-01 -1.15825932E-01
   1.26405056E-02  3.70432402E-01 -1.15947591E-01
   1.26805072E-02  3.70177969E-01 -1.16068181E-01
   1.27205088E-02  3.69918039E-01 -1.16187704E-01
   1.27605104E-02  3.69652633E-01 -1.16306163E-01
   1.28005120E-02  3.69381775E-01 -1.16423560E-01
   1.28405136E-02  3.69105486E-01 -1.16539899E-01
   1.28805152E-02  3.68823788E-01 -1.16655183E-01
   1.29205168E-02  3.68536703E-01 -1.16769414E-01
   1.29605184E-02  3.68244252E-01 -1.16882595E-01
   1.30005200E-02  3.67946458E-01 -1.16994728E-01
   1.30405216E-02  3.67643342E-01 -1.17105817E-01
   1.30805232E-02  3.67334925E-01 -1.17215865E-01
   1.31205248E-02  3.67021229E-01 -1.17324874E-01
   1.31605264E-02  3.66702276E-01 -1.17432846E-01
   1.32005280E-02  3.66378086E-01 -1.17539785E-01
   1.32405296E-02  3.66048682E-01 -1.17645694E-01
   1.32805312E-02  3.65714085E-01 -1.17750575E-01
   1.33205328E-02  3.65374315E-01 -1.17854430E-01
   1.33605344E-02  3.65029395E-01 -1.17957263E-01
   1.34005360E-02  3.64679344E-01 -1.18059076E-01
   1.34405376E-02  3.64324185E-01 -1.18159872E-01
   1.34805392E-02  3.63963937E-01 -1.18259654E-01
   1.35205408E-02  3.63598623E-01 -1.18358424E-01
   1.35605424E-02  3.63228262E-01 -1.18456186E-01
   1.36005440E-02  3.62852877E-01 -1.18552940E-01
   1.36405456E-02  3.62472487E-01 -1.18648692E-01
   1.36805472E-02  3.62087113E-01 -1.18743442E-01
   1.37205488E-02  3.61696775E-01 -1.18837194E-01
   1.37605504E-02  3.61301496E-01 -1.18929950E-01
   1.38005520E-02  3.60901294E-01 -1.19021714E-01
   1.38405536E-02  3.60496191E-01 -1.19112486E-01
   1.38805552E-02  3.60086206E-01 -1.19202272E-01
   1.39205568E-02  3.59671361E-01 -1.19291072E-01
   1.39605584E-02  3.59251676E-01 -1.19378889E-01
   1.40005600E-02  3.58827170E-01 -1.19465726E-01
   1.40405616E-02  3.58397864E-01 -1.19551587E-01
   1.40805632E-02  3.57963778E-01 -1.19636472E-01
   1.41205648E-02  3.57524933E-01 -1.19720385E-01
   1.41605664E-02  3.57081348E-01 -1.19803329E-01
   1.42005680E-02  3.56633043E-01 -1.19885306E-01
   1.42405696E-02  3.56180038E-01 -1.19966318E-01
   1.42805712E-02  3.55722354E-01 -1.20046369E-01
   1.43205728E-02  3.55260009E-01 -1.20125460E-01
   1.43605744E-02  3.54793024E-01 -1.20203594E-01
   1.44005760E-02  3.54321418E-01 -1.20280774E-01
   1.44405776E-02  3.53845211E-01 -1.20357003E-01
   1.44805792E-02  3.53364423E-01 -1.20432282E-01
   1.45205808E-02  3.52879073E-01 -1.20506615E-01
   1.45605824E-02  3.52389181E-01 -1.20580003E-01
   1.46005840E-02  3.51894766E-01 -1.20652450E-01
   1.46405856E-02  3.51395847E-01 -1.20723958E-01
   1.46805872E-02  3.50892444E-01 -1.20794529E-01
   1.47205888E-02  3.50384577E-01 -1.20864166E-01
   1.47605904E-02  3.49872264E-01 -1.20932872E-01
   1.48005920E-02  3.49355525E-01 -1.21000648E-01
